Gene	EntrezId	AFR	AMR	ASJ	EAS	FIN	NFE	SAS	Mean
A1BG	1	0.12974176928400993	0.03861870339605957	0.17384317724965512	0.034203716404736045	0.18288669789209963	0.108033377082902	0.14918742003617808	0.116645
A1BG-AS1	503538	3.1228947918862107E-4	6.016847211867571E-5	0.0	6.16522803902626E-4	0.0	4.527491983026266E-5	3.825261956080794E-5	0.000153
A1CF	29974	0.11133950151968747	0.034374240024480966	0.005240209549665451	0.010381247592158615	0.003197152679786086	0.014826698738033883	0.01024471377255395	0.027086
A2M	2	0.5734336201613769	0.6662895123870112	0.45303079755976794	0.14080325410701333	0.5413491443684325	0.5417469835258089	0.39843376668402924	0.473584
A2M-AS1	144571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000000
A2ML1	144568	2.139169178423472	1.9790771702327765	1.9359447228349744	1.8292337082512677	1.9349194428836927	1.9675635994458571	1.791735885271337	1.939663
A2MP1	3	0.32306761741638185	0.39654768466949464	0.42384105682373047	0.45167132303118707	0.3930882740020752	0.44845652958378196	0	0.348096
A3GALT2	127550	0.03462816352955997	0.014976891742553561	0.03975713521242142	0.005488894162699581	0.011379354316741228	0.026524535908247344	0.014863818716257811	0.021088
A4GALT	53947	0.023975509363226594	0.0039103978616185486	3.0624976381659507E-4	0.009859555354341864	0.0013367327256128192	0.003428908522473648	0.004411765374243259	0.006747
A4GNT	51146	0.02854407936800271	0.008878425953444093	0.0022546024434268474	0.0027627362636849285	0.010645049717277288	0.008813032808830031	0.03704114051302895	0.014134
AAAS	8086	0.13178967871237546	0.021073560593649746	0.021547329649329185	0.013683945485390724	0.009467813200317324	0.008037789617665112	0.006244788526091724	0.030264
AACS	65985	0.10781707321293652	0.01873179609887302	0.0337599041685462	0.016454492569901048	0.0035108202416449783	0.008037227293243632	0.01402959314873442	0.028906
AACSP1	729522	0.014448963031172752	0.002386634796857834	0.0	0.0012360939383506775	5.724098533391953E-4	2.664180705323815E-4	0	0.002702
AADAC	13	0.7665525711188093	0.762963503303472	0.8166717933490872	0.5983962164726109	0.6700830219918862	0.7940304128854768	0.7871010374417529	0.742257
AADACL2	344752	0.01807729960884899	0.0032828465453349056	0.027524797283113002	0.009464070997200907	0.001678700433112681	0.0029327658505644647	0.00801801895024255	0.010140
AADACL2-AS1	101928142	0.0	0.0	0.0	6.16522803902626E-4	0.0	0.0	0	0.000088
AADACL3	126767	0.014433311996981502	0.00415663898224011	0.0028469741716980936	0.025051396335475148	0.002532792640849948	0.003299329613219015	0.003071499988436699	0.007913
AADACL4	343066	0.009159423061646521	0.013501526401378215	0.025905059222131967	0.01567175176460296	0.018856092616915704	0.012493172860704362	0.008644811895210295	0.014890
AADACP1	201651	0.0	0.0	0.0	0.0	0.0	6.695232819765806E-5	0	0.000010
AADAT	51166	0.006231177942827344	0.00834402201231569	0.0025481712445616722	0.009205121430568397	0.009153245445340873	0.012776910042739474	0.005511428711470217	0.007681
AAGAB	79719	0.006380160357803106	0.0055692858365364376	0.01670807784423232	0.0053721979865804315	0.007028936548158527	0.011463743651402182	0.006499236284289509	0.008432
AAK1	22848	0.33130273283924905	0.5431721238628962	0.38124459782615305	0.5656825505383313	0.4482565318094566	0.4593211419368163	0.35842468436108904	0.441058
AAMDC	28971	1.0574282687623053	0.9289804298919626	0.8426093025878072	0.9138755770260468	1.004603686868213	0.8133120417030295	0.6773702519270591	0.891169
AAMP	14	0.0999720994848758	0.18619990342995152	0.014916361942887306	0.12422980152536184	0.03745463321916759	0.039329402783187105	0.03652536304201931	0.076947
AANAT	15	0.01551599700935185	0.0038325313036330043	0.004545739218592644	0.004476547171361744	8.764869067817927E-4	0.0029550788743654267	0.007100568653549999	0.005615
AAR2	25980	0.01997894914355129	0.01260551278013736	0.02861114322207868	0.0160444518039003	0.03518012753222138	0.01874801354832016	0.018229413831140847	0.021343
AARD	441376	0.1559991542669013	0.03804941748967394	0.07140293955802918	0.0822710424894467	0.10164222958497703	0.09296791903965641	0.03140558566199616	0.081963
AARS	16	0.29021443298086524	0.047864711922593416	0.08327935683541	0.015179794766008853	0.01689491140190512	0.05292344929126557	0.029559051773976535	0.076559
AARS2	57505	0.2841086438205093	0.04987399760866538	0.02503521122969687	0.03345333176199347	0.08022810254711658	0.06277161110017915	0.032544970547314735	0.081145
AARSD1	80755	0.013051866926252842	0.001751087224110961	0.00327170517295599	1.1595547199249268E-4	8.730857819318771E-4	0.004389207085478119	0.0075133533007465305	0.004424
AASDH	132949	0.351785182422027	0.5286865657404997	0.11835136909969152	0.4309812788665295	0.21857613547705113	0.19684670394170098	0.3290579204983078	0.310612
AASDHPPT	60496	0.0026004042755812407	0.004001305722631514	0.008531305510550737	0.005132849426008761	0.0010568081075325608	0.002337178144371137	0.002473538899794221	0.003733
AASS	10157	0.024257375090382994	0.007576756558846682	0.012356479493901134	0.027959853461943567	0.017431018822826445	0.019328610885422676	0.010445050175767391	0.017051
AATBC	284837	0.0	0.0	0.0	0.0	0.0	2.668360760435462E-4	0	0.000038
AATF	26574	0.050269529386423525	0.0710782727203332	0.009608314707875251	0.025166590455919503	0.017510456056334077	0.005853718152502551	0.021999587011523544	0.028784
AATK	9625	1.0897326183132827	0.9865787565568462	0.8042451552394777	0.711568862264976	0.6412500875256956	0.7774373359215678	0.8776809762162157	0.841213
ABAT	18	0.07765034096781165	0.006763178966939449	0.004690913055092096	0.011808886481449008	0.005194188132882118	0.007932688086293637	0.011647178241983056	0.017955
ABCA1	19	1.0686576292430983	1.102162297940813	0.959979736097157	1.4129117344412954	0.8766837834799662	0.8469770872138906	0.7776941280509345	1.006438
ABCA10	10349	1.9697364234458654	1.318918959463481	0.8996172270178795	0.8514629583200439	1.1166773171676323	1.0194733833201461	0.3481994394818321	1.074869
ABCA11P	79963	4.007131885737181E-4	6.069552199915051E-4	1.2820512987673282E-4	0.0028063215967267753	3.786510229110718E-4	0.0019512882310664282	6.283313129097223E-4	0.000986
ABCA12	26154	2.2868351458758114	1.545682446726132	1.151636137906462	1.2289120984077453	1.0628396514011547	1.210084046581178	1.2831291998107917	1.395588
ABCA13	154664	2.747627545124851	2.4541867991839537	2.058116734735668	2.6471023984299973	2.1144188461173328	2.1790216201834847	1.9410498867719435	2.305932
ABCA17P	650655	0.0011450297385454178	0.0	0.0	6.172839552164078E-4	0.0	2.0030300598591566E-4	0	0.000280
ABCA2	20	0.11628832531161606	0.10987653149757534	0.16769825749099254	0.07018792645074427	0.09196893982589245	0.11135493185545783	0.12995432052994146	0.113904
ABCA3	21	0.058305988437496126	0.027728294101543725	0.0552030326332897	0.028651307825930415	0.06013989941217005	0.038518276196555234	0.037113722630310805	0.043666
ABCA4	24	0.9254363381769508	0.24185879196040333	0.25697433658875524	0.2715314189204946	0.2150542034348473	0.27168857445125466	0.20910771850496532	0.341664
ABCA5	23461	0.14701299142092467	0.06441998964408413	0.028303444031625987	0.06002760767005384	0.05439804155845195	0.04136947613034863	0.03420567858032882	0.061391
ABCA6	23460	0.462559405695647	0.9202078061946668	0.6418187559582293	0.5337620774982497	0.7227914621308446	0.7519472697394667	0.6967599920765497	0.675692
ABCA7	10347	0.7342216594750062	0.24070337800541894	0.14294454645365476	0.6694585154158994	0.16486509852577	0.15378349257283844	0.23928975680377335	0.335038
ABCA8	10351	0.6206006966391578	0.2240987798711285	0.18605535647831858	0.3710145624587312	0.19010248319711537	0.16905755198036787	0.19082146514905618	0.278822
ABCA9	10350	0.3098482839949429	0.7175746741588227	0.6909636281523853	0.32672995421569795	0.7305359933990985	0.729487481660908	0.6700600558426231	0.596457
ABCB1	5243	0.1423708391841501	0.10758139694109559	0.05807097120210528	0.15168800827581436	0.10791046526283025	0.05170699399430305	0.07018272660672664	0.098502
ABCB10	23456	0.13510533508844674	0.059884856001008305	0.06763960388489068	0.017775434772484004	0.05939954854082316	0.05291880154574755	0.02787031856365502	0.060085
ABCB11	8647	0.17961582130286843	0.07085567486239597	0.06653190393000841	0.10168969992548227	0.08917110667098313	0.0746061104896944	0.14718520630151033	0.104237
ABCB4	5244	0.1963940896652639	0.03139061013702303	0.02364776223897934	0.0136251478549093	0.10292896930128335	0.05689617602678482	0.031205614472273737	0.065155
ABCB5	340273	1.6880157374870033	1.7610284604434856	1.6940724483132363	2.220980853121728	1.8170716757001355	1.6469280024274484	1.6864775034599007	1.787796
ABCB6	10058	0.2657932862313464	0.2349855180666782	0.16949323733337224	0.07571365512441844	0.057212989698164164	0.13987155564420392	0.20638818783918395	0.164208
ABCB8	11194	0.5147708799084648	0.3657817942020483	0.5502734495420009	0.4608012844296172	0.4466676838323474	0.5609291312360437	0.5320561493607238	0.490183
ABCB9	23457	0.017015894572250546	0.012390689339954407	0.010538516119122505	0.03710463077295571	0.00537572996225208	0.01125361999089364	0.009356895815581084	0.014719
ABCC1	4363	1.2330893616052345	0.5752080098050647	0.6693791929539293	0.7958535076724366	0.7827429448440671	0.6348155679466436	0.2552438455191441	0.706619
ABCC10	89845	0.08196403090842068	0.023444091517012565	0.04881632314994931	0.030301261274144054	0.042322391076013446	0.03585717866313644	0.0344453875743784	0.042450
ABCC11	85320	0.5267258220445364	0.37414477582322436	0.46652849864214657	0.9496337960613892	0.5437859589746222	0.4487729499815032	0.5652312096673995	0.553546
ABCC12	94160	1.131994972168468	0.6187082318542525	0.840207194518298	0.9413771227747202	0.8896092884382233	0.8535796289244899	0.8935337968543172	0.881287
ABCC13	150000	0.1058213793579489	0.18033725265413522	0.19333333969116212	0.0024721897765994072	0.23783629190176725	0.18680655279662461	6.162188947200775E-5	0.129524
ABCC2	1244	0.4587939954083413	0.20849795629037543	0.2627022654842585	0.12938993535470217	0.26564081161282954	0.2647485894069541	0.3426436341390945	0.276060
ABCC3	8714	0.20538991705048829	0.0726127957762219	0.10728546171449124	0.03512764340266585	0.06144412923138589	0.1083388467237819	0.04063123016851023	0.090119
ABCC4	10257	0.2407011096039787	0.26157676389906553	0.23631699422374366	0.33067847453523425	0.13596384695265443	0.14185490502568426	0.279865655018948	0.232423
ABCC5	10057	0.027824176475405693	0.019086025930009784	0.0128132535982877	0.019678048714995386	0.015987396906130016	0.018917584104347043	0.02707360975444317	0.020197
ABCC5-AS1	100873982	8.016490936279297E-4	0	0	0	0	0	0	0.000115
ABCC6	368	0.28993494572583584	0.059074612155091015	0.06520516767166555	0.06404717493802309	0.08925090039148927	0.07465692435740494	0.07219703609822319	0.102052
ABCC6P1	653190	5.51859107799828E-4	3.5888601560145615E-5	0.0	0.0	5.834305658936501E-4	1.51023562066257E-4	3.885909682139754E-5	0.000194
ABCC6P2	730013	0.0	0.0	0.0	0.0	0.0	9.043717291206122E-6	0.0	0.000001
ABCC8	6833	0.48300647413358094	0.3212241994845681	0.3086608747486025	0.2285525998705998	0.2591742052230984	0.30447135072841774	0.1055563760153018	0.287235
ABCC9	10060	0.10132530816365033	0.02110884989844635	0.025545294219627975	0.018772701011039318	0.009757896745577454	0.02177935098297894	0.01582612903555855	0.030588
ABCD2	225	0.013115248242393136	0.018838350567966698	0.011423829793930054	0.020792490360327064	0.019442757531069218	0.02668097383750137	0.02434709155000746	0.019234
ABCD3	5825	0.005891107921488583	0.008460093026515096	0.002446091240271926	0.009104487337172031	0.042003690227866174	0.007694211986963637	0.003818579884245992	0.011345
ABCD4	5826	0.9707017139159143	0.07009666949976236	0.03690053223632276	0.016286209337413312	0.04406260270625353	0.04777873562998138	0.03129313105717301	0.173874
ABCE1	6059	0.007215769696049392	0.004341813242062926	0.0041353581100702285	0.009007231947034598	0.009958772785030306	0.006719935018918477	0.005176493518520147	0.006651
ABCF1	23	0.15839757111854852	0.04986964255338535	0.04614349420182407	0.033748050569556653	0.014772953023202718	0.02526208546536509	0.012998301228508353	0.048742
ABCF2	10061	0.12637833600398152	0.011812771318946034	0.005390152484178543	0.0031514510372653605	0.005299161798320711	0.011344989550998434	0.0050698235724121335	0.024064
ABCF3	55324	0.07605363654438406	0.037017408984247595	0.04285830308683217	0.038597375070676204	0.032416661800816655	0.06262922224239446	0.049854984616395086	0.048490
ABCG1	9619	0.7883603646373376	0.35510263761971145	0.3045459495577961	0.1817771310219541	0.31512014314997944	0.3436727112199878	0.3010921901278198	0.369953
ABCG2	9429	0.1043547849636525	0.47655927212676036	0.18608445376157762	0.67342435288243	0.2024859494715929	0.1593880380986957	0.27598095951369034	0.296897
ABCG4	64137	0.07372645520139486	0.01894210600759834	0.01086544593796134	0.010198397585190833	0.038324290150776506	0.017036493936902843	0.010293631439562887	0.025627
ABCG5	64240	0.21456145907752217	0.12168940162286163	0.10465607201680541	0.035337393805384636	0.09424453800078482	0.07701166122220457	0.051562900580465795	0.099866
ABCG8	64241	0.4685631478065625	0.5255312057211995	0.4700558469071984	0.9111862214980647	0.5609340613614768	0.47094473807024767	0.5768432035623118	0.569151
ABHD1	84696	0.3057581764040515	0.22584015320288017	0.19238886541686953	0.18660858506336808	0.16238696566317232	0.16607111751567571	0.17097803458571434	0.201433
ABHD10	55347	0.02718143899459392	0.007077053531538695	0.0021726467926055193	0.004471312463283539	0.0017057687230408191	0.0056583701155614105	0.008243789342232048	0.008073
ABHD11	83451	0.004254022017121315	0.00487392968731001	9.564398974180222E-4	0.004767039730213582	1.3707166537642478E-4	0.002752031161217019	0.005028913407586515	0.003253
ABHD11-AS1	171022	5.733944848179817E-4	0.0	0.0	6.172839552164078E-4	0.0	0.0	0	0.000170
ABHD12	26090	0.9377954331506043	0.7063749372819439	0.6787183017563074	1.8684423408377915	0.9589519262081012	0.9738993721466978	0.5068579472368583	0.947291
ABHD12B	145447	0.2629166730539873	0.29153361917007714	0.20217791128903628	0.11439353598747402	0.36373722536023706	0.208326742213103	0.2549747161963023	0.242580
ABHD13	84945	0.004304508999921381	0.005616399205755442	0.0015300542954355479	0.005355807477608323	0.0011866541858762502	0.003206453214515932	0.0023394036199897526	0.003363
ABHD14A	25864	0.1215048703784123	0.021549248513765634	0.02105721993371844	0.010623545236885547	0.06332144111394883	0.0439022911991924	0.017029648076277226	0.042713
ABHD14A-ACY1	100526760	0.10092129631899298	0.05715040847891942	0.033766923043876886	0.019176099319010972	0.033393357493914665	0.05759368114056997	0.03632403772789985	0.048332
ABHD14B	84836	0.05535308137536049	0.01051559890853241	0.0025203727185726167	0.0026998554961755873	0.015318076605908573	0.016159329393412917	0.008224556900095194	0.015827
ABHD15	116236	0.036800865954719486	0.06483692948939279	0.16921137135475875	0.011390916747041046	0.09840446179267019	0.14247713794989977	0.04081986717879772	0.080563
ABHD16A	7920	0.025684183510020376	0.008096064373385161	0.028410951057448983	0.02771520420908928	0.005875783259980381	0.008008635707665235	0.010215800195001066	0.016287
ABHD16B	140701	0.12423367226962	0.17931680775480344	0.11041531638242304	0.24599712050054223	0.19446758652571589	0.1652896077214973	0.2118619794701226	0.175940
ABHD17A	81926	0.13179690700490027	0.024907234020065516	0.015530823636800051	0.07814841233659536	0.032308950554579496	0.03844250611378811	0.008143289806321263	0.047040
ABHD17B	51104	0.0032146278256550433	8.06585440877825E-4	1.0164667852222919E-4	0.013862391272559761	1.352311111986637E-4	0.0011704761342843995	5.805608141236007E-4	0.002839
ABHD17C	58489	0.5094385025370866	0.003637537455651909	8.156066574156284E-4	0.002828132677823305	0.0011875631660223007	0.0024029403016902506	7.190104085020721E-4	0.074433
ABHD18	80167	0.09788609905634076	0.017308573639020323	0.012689883876591921	0.030667803972028194	0.0018320521945133805	0.006356352326110937	0.0035316936252638696	0.024325
ABHD2	11057	0.015077790529467165	0.004818651271052659	0.0011189413350075484	0.008866996425203978	0.0189723433740437	0.0021839595364872367	0.001692448437679559	0.007533
ABHD3	171586	0.020923017193563282	0.004289786776062101	0.001482279310002923	0.004017904987558722	0.01732548583764583	0.005123221285175532	0.006449446065817028	0.008516
ABHD4	63874	0.005220975843258202	0.006188189066015184	0.008733815886080265	0.0074354606354609136	0.0069600881123915315	0.004463822027319111	0.00566839212551713	0.006382
ABHD5	51099	0.021357950307428836	0.008504525285679847	0.01069204842671752	0.011314224055968224	0.010631481511518359	0.016294529672595672	0.015262837063055486	0.013437
ABHD8	79575	0.24396227652207017	0.04460163283161819	0.07358271893113852	0.14788464382756503	0.15534234172664582	0.08071768592926673	0.04119356044568121	0.112469
